league,season,games,start_date,end_date,avg_hold,season_mode_games,likely_regular_games
MLB,2011,2211,2011-03-31,2011-10-27,0.039047202049263936,142,2103
MLB,2012,2192,2012-04-04,2012-10-27,0.03859883249360947,147,2158
MLB,2013,2215,2013-03-31,2013-10-27,0.03952142025971862,143,2117
MLB,2014,2177,2014-03-22,2014-10-28,0.026168292732569636,144,2123
MLB,2015,2196,2015-04-05,2015-10-31,0.02603315848086079,146,2157
MLB,2016,2211,2016-04-03,2017-11-01,0.02600801780248067,143,2119
MLB,2017,2212,2017-04-02,2017-10-28,0.02657995400783732,145,2148
MLB,2018,2253,2018-03-29,2018-10-27,0.028382097229335077,144,2128
MLB,2019,2238,2019-03-20,2019-10-29,0.020838707006507626,147,2180
MLB,2020,849,2020-07-23,2020-10-24,0.02113216040536699,53,772
MLB,2021,2195,2021-04-01,2021-10-30,0.02164524799943162,144,2121
NBA,2011,1073,2011-12-25,2012-06-19,0.03668899119309548,66,990
NBA,2012,1312,2012-10-30,2013-06-18,0.037538379702831894,82,1229
NBA,2013,1318,2013-10-29,2014-06-12,0.03866140709384648,82,1230
NBA,2014,1310,2014-10-28,2015-06-14,0.03709102373017353,82,1230
NBA,2015,1315,2015-10-27,2016-06-16,0.03647711370143103,82,1230
NBA,2016,1308,2016-10-25,2017-06-09,0.03678612419282603,82,1230
NBA,2017,1311,2017-10-17,2018-06-06,0.04202033173036242,82,1230
NBA,2018,1311,2018-10-16,2019-06-10,0.041952605608937744,82,1230
NBA,2019,1142,2019-08-01,2020-07-31,0.04117393652487565,65,892
NBA,2020,1170,2020-12-22,2021-07-17,0.035642091046001044,72,1080
NBA,2021,1322,2021-10-19,2022-06-13,0.035863804649167,82,1230
NFL,2011,266,2011-09-08,2012-01-22,0.03748647708939323,16,256
NFL,2012,266,2012-09-05,2013-01-20,0.04037669098180135,16,256
NFL,2013,266,2013-09-05,2014-01-19,0.037699974435741836,16,256
NFL,2014,266,2014-09-04,2015-01-18,0.03791240187438088,16,256
NFL,2015,266,2015-09-10,2016-01-23,0.03662846864460617,16,256
NFL,2016,266,2016-09-08,2017-01-22,0.03616366141086102,16,256
NFL,2017,266,2017-09-07,2018-01-21,0.04131843121099178,16,256
NFL,2018,266,2018-09-06,2019-01-20,0.04163074448712946,16,256
NFL,2019,266,2019-09-05,2020-01-19,0.04226838652240419,16,256
NFL,2020,268,2020-09-10,2021-01-24,0.035378071276482945,16,256
NFL,2021,284,2021-09-09,2022-01-30,0.035039661838501664,17,272
NHL,2011,1314,2011-10-06,2012-06-09,0.03826443360501783,82,1230
NHL,2012,805,2013-01-19,2013-06-22,0.03824466722692294,48,720
NHL,2013,1321,2013-10-01,2014-06-11,0.03842056356509271,82,1229
NHL,2014,1318,2014-10-08,2015-06-13,0.037412915419776704,82,1230
NHL,2015,1320,2015-10-07,2016-06-09,0.03844150971922611,82,1230
NHL,2016,1316,2016-10-12,2017-06-08,0.03787510819254274,82,1230
NHL,2017,1354,2017-10-04,2018-06-04,0.03808881295029676,82,1271
NHL,2018,1357,2018-10-03,2019-06-09,0.02305931529397618,82,1271
NHL,2019,1211,2019-08-01,2020-03-11,0.022636636700390875,73,1067
NHL,2020,950,2020-01-13,2021-07-05,0.02338164949573215,56,867
NHL,2021,1400,2021-10-12,2022-06-24,0.023914067321938744,82,1312
